id,name,platform,vendor,control_band,video_protocol,frequency_hopping,channel_bandwidth_mhz,detection_notes,source_url
dji-mavic-3,DJI Mavic 3 / Enterprise,dji-mavic-3,DJI,2.4/5.8 GHz ISM,OcuSync 3+/O4 (proprietary OFDM),adaptive FHSS,~10-40,Classify by OcuSync adaptive dual-band burst pattern rather than a fixed channel; passive DF only,https://enterprise.dji.com/mavic-3-enterprise
dji-fpv,DJI FPV / Avata (O3 Air Unit),dji-fpv,DJI,2.4/5.8 GHz ISM,OcuSync O3 (proprietary),adaptive FHSS,~20-40,High-bandwidth digital HD downlink; hopping across ISM sub-bands complicates fixed-channel energy detectors,https://www.dji.com/dji-fpv
dji-phantom-4,DJI Phantom 4 (legacy),dji-phantom-4,DJI,2.4/5.8 GHz ISM,Lightbridge / OcuSync 1 (model dependent),FHSS,~10-20,Legacy Lightbridge downlink; Phantom-3/4 class is the airframe used in the public DroneRF corpus,https://www.dji.com/phantom-4
autel-evo-max,Autel EVO Max 4T,autel-evo-max,Autel Robotics,2.4/5.8 GHz + 900 MHz ISM,Autel SkyLink 3.0,adaptive FHSS,~10-20,Tri-band adaptive link; classify by SkyLink framing not a single band,https://www.autelrobotics.com/
fpv-5in-analog,FPV 5-inch (analog VTx + ELRS),fpv-5in-analog,various (open),2.4 GHz (ELRS control) / 5.8 GHz (analog video),analog FM video (fixed) + CRSF/ELRS control,control hops (ELRS); video fixed channel,analog raster / ELRS 2.4 GHz FHSS,Fixed 5.8 GHz analog VTx shows a strong stationary spectral peak; ELRS control is fast low-power hopping,https://www.expresslrs.org/
fpv-5in-digital,FPV 5-inch (digital HD),fpv-5in-digital,DJI / Walksnail / HDZero,5.8 GHz video (2.4 GHz control),DJI O3 / Walksnail / HDZero digital,adaptive/hopping,~20,Digital HD FPV links resemble consumer OcuSync spectrally; ELRS/CRSF control on 2.4 GHz,https://www.dji.com/dji-fpv
parrot-anafi,Parrot ANAFI / Ai,parrot-anafi,Parrot,2.4/5 GHz WiFi (ANAFI Ai adds 4G LTE),WiFi 802.11 a/b/g/n,WiFi channel (no FHSS),20/40 WiFi,WiFi-based link classified via 802.11 beacon/MAC patterns; 4G models can have minimal detectable local RF,https://www.parrot.com/en/drones/anafi-ai
fixed-wing-group2,Fixed-wing Group 2 UAS (generic),fixed-wing-group2,various,900 MHz / 1.4 GHz / SATCOM (platform dependent),MAVLink telemetry + analog or digital video,varies,narrowband telemetry,Long-endurance types may use directional or SATCOM links with little detectable omnidirectional ground RF,https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle
shahed-136,Shahed-136 / Geran-2 (autonomous),shahed-136,HESA / Shahed Aviation,none (INS/GNSS autonomous),none - no radio control link,n/a,n/a,Autonomous waypoint attack UAV emits effectively no control-link RF; RF-only detection is blind - use radar/acoustic,https://en.wikipedia.org/wiki/HESA_Shahed_136
wifi-toy-quad,WiFi micro / toy quadcopter (generic),wifi-toy-quad,various,2.4 GHz WiFi,WiFi 802.11 FPV,WiFi channel (no FHSS),20 WiFi,Cheap 2.4 GHz WiFi FPV toys detectable via 802.11 signatures at short range,https://en.wikipedia.org/wiki/First-person_view_(radio_control)
dji-mini-4-pro,DJI Mini 4 Pro,dji-mini-4-pro,DJI,2.4/5.8 GHz ISM,OcuSync O4 (proprietary OFDM),adaptive FHSS,~10-40,O4 adaptive dual-band burst pattern; passive DF only,https://www.dji.com/mini-4-pro
dji-air-3,DJI Air 3 / 3S,dji-air-3,DJI,2.4/5.8 GHz ISM,OcuSync O4,adaptive FHSS,~10-40,Same O4 family; classify by burst/hop pattern,https://www.dji.com/air-3
dji-matrice-350,DJI Matrice 350 RTK,dji-matrice-350,DJI,2.4/5.8 GHz ISM (O3 Enterprise),OcuSync O3 Enterprise (triple-band capable),adaptive FHSS,~10-40,Enterprise link with optional 3-antenna DF resistance,https://enterprise.dji.com/matrice-350-rtk
